id,name
l10n_co_aat_1001_5056_O,1001:5056:O
l10n_co_aat_1001_5056_P,1001:5056:P
l10n_co_aat_1001_5056_Q,1001:5056:Q
l10n_co_aat_1001_5056_R,1001:5056:R
l10n_co_aat_1003_1301_M,1003:1301:M
l10n_co_aat_1003_1301_N,1003:1301:N
l10n_co_aat_1003_1302_M,1003:1302:M
l10n_co_aat_1003_1302_N,1003:1302:N
l10n_co_aat_1003_1303_M,1003:1303:M
l10n_co_aat_1003_1303_N,1003:1303:N
l10n_co_aat_1003_1304_M,1003:1304:M
l10n_co_aat_1003_1304_N,1003:1304:N
l10n_co_aat_1003_1305_M,1003:1305:M
l10n_co_aat_1003_1305_N,1003:1305:N
l10n_co_aat_1003_1306_M,1003:1306:M
l10n_co_aat_1003_1306_N,1003:1306:N
l10n_co_aat_1003_1307_M,1003:1307:M
l10n_co_aat_1003_1307_N,1003:1307:N
l10n_co_aat_1007_4001_J,1007:4001:J
l10n_co_aat_1007_4001_K,1007:4001:K
l10n_co_aat_1007_4002_J,1007:4002:J
l10n_co_aat_1007_4002_K,1007:4002:K
l10n_co_aat_1007_4003_J,1007:4003:J
l10n_co_aat_1007_4003_K,1007:4003:K
l10n_co_aat_1007_4004_J,1007:4004:J
l10n_co_aat_1007_4004_K,1007:4004:K
l10n_co_aat_1007_4005_J,1007:4005:J
l10n_co_aat_1007_4005_K,1007:4005:K
l10n_co_aat_1007_4006_J,1007:4006:J
l10n_co_aat_1007_4006_K,1007:4006:K
l10n_co_aat_1007_4007_J,1007:4007:J
l10n_co_aat_1007_4007_K,1007:4007:K
l10n_co_aat_1007_4008_J,1007:4008:J
l10n_co_aat_1007_4008_K,1007:4008:K
l10n_co_aat_1007_4009_J,1007:4009:J
l10n_co_aat_1007_4009_K,1007:4009:K
l10n_co_aat_1007_4011_J,1007:4011:J
l10n_co_aat_1007_4011_K,1007:4011:K
l10n_co_aat_1007_4012_J,1007:4012:J
l10n_co_aat_1007_4012_K,1007:4012:K
l10n_co_aat_1007_4013_J,1007:4013:J
l10n_co_aat_1007_4013_K,1007:4013:K
l10n_co_aat_1008_1315_N,1008:1315:N
l10n_co_aat_1008_1316_N,1008:1316:N
l10n_co_aat_1008_1317_N,1008:1317:N
l10n_co_aat_1008_1318_N,1008:1318:N
l10n_co_aat_1009_2201_N,1009:2201:N
l10n_co_aat_1009_2202_N,1009:2202:N
l10n_co_aat_1009_2203_N,1009:2203:N
l10n_co_aat_1009_2204_N,1009:2204:N
l10n_co_aat_1009_2205_N,1009:2205:N
l10n_co_aat_1009_2207_N,1009:2207:N
l10n_co_aat_1009_2208_N,1009:2208:N
l10n_co_aat_1009_2209_N,1009:2209:N
l10n_co_aat_1009_2206_N,1009:2206:N
l10n_co_aat_1011_9200_B,1011:9200:B
l10n_co_aat_1011_9201_B,1011:9201:B
l10n_co_aat_1011_9202_B,1011:9202:B
l10n_co_aat_1011_9203_B,1011:9203:B
l10n_co_aat_1011_9204_B,1011:9204:B
l10n_co_aat_1011_9205_B,1011:9205:B
l10n_co_aat_1011_9206_B,1011:9206:B
l10n_co_aat_1011_9207_B,1011:9207:B
l10n_co_aat_1012_1200_K,1012:1200:K
l10n_co_aat_1012_1201_K,1012:1201:K
l10n_co_aat_1012_1202_K,1012:1202:K
